overbust,bust,underbust,natural waist,waist,low waist,hip,gender,study
85.9,88.5,78.7,70.2,,81.7,95.8,Cis woman,ANSUR (1988)
88.3,90.0,76.1,73.8,,77.3,99.3,Cis woman,ANSUR (1988)
91.9,86.8,76.0,74.7,,81.3,93.1,Cis woman,ANSUR (1988)
86.4,88.3,72.9,67.5,,73.2,91.9,Cis woman,ANSUR (1988)
82.4,84.9,75.2,65.5,,74.2,91.0,Cis woman,ANSUR (1988)
81.9,79.7,71.1,62.5,,68.6,84.7,Cis woman,ANSUR (1988)
81.0,81.4,72.6,67.8,,68.8,89.0,Cis woman,ANSUR (1988)
95.9,94.7,83.5,79.7,,92.3,100.0,Cis woman,ANSUR (1988)
89.3,98.2,81.7,75.3,,85.1,93.8,Cis woman,ANSUR (1988)
85.0,88.8,74.9,68.5,,74.1,93.7,Cis woman,ANSUR (1988)
86.6,87.1,74.0,65.8,,71.2,87.5,Cis woman,ANSUR (1988)
82.1,84.1,72.0,65.8,,71.0,87.0,Cis woman,ANSUR (1988)
87.4,93.4,75.8,70.0,,77.3,98.5,Cis woman,ANSUR (1988)
79.5,85.5,72.5,62.2,,65.3,84.4,Cis woman,ANSUR (1988)
92.0,91.5,77.6,70.8,,79.1,93.9,Cis woman,ANSUR (1988)
95.5,97.8,85.0,81.7,,90.9,102.2,Cis woman,ANSUR (1988)
79.2,83.9,73.5,64.9,,75.5,89.9,Cis woman,ANSUR (1988)
76.4,79.5,68.5,61.1,,66.5,86.7,Cis woman,ANSUR (1988)
85.6,85.3,73.3,71.2,,80.8,89.2,Cis woman,ANSUR (1988)
101.4,101.4,88.2,79.4,,87.0,102.5,Cis woman,ANSUR (1988)
87.1,87.6,74.5,70.9,,68.5,87.5,Cis woman,ANSUR (1988)
91.3,95.5,81.4,71.8,,78.8,95.1,Cis woman,ANSUR (1988)
88.4,96.2,78.1,77.1,,84.6,101.5,Cis woman,ANSUR (1988)
97.9,98.6,84.1,82.3,,94.6,99.8,Cis woman,ANSUR (1988)
89.1,91.4,73.8,70.9,,82.9,97.4,Cis woman,ANSUR (1988)
